,Name,Description,Address,Neighborhoods,Rental listings,Year built,Structure,Web,Leasing Manager,Manager Phone,Phone
371,163 Stanton Street,163 Stanton Street is a   low-rise  walk-up  building.,"163 Stanton Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,5 floors 18 units,,"The Downtown, LLC",,
372,163 West 10th Street,163 West 10th Street is a   low-rise  landmark walk-up  building.,"163 West 10th Street,  New York, NY 10014","West Village, Central Village,   Manhattan",(no current listings),1900,5 floors 18 units,,H.M. Village Realty,212-255-2600,
373,164 Attorney Street,164 Attorney Street is a  modern  mid-rise  elevator  building.,"164 Attorney Street,  New York, NY 10002","Lower East Side,   Manhattan",1 no-fee ad,2014,7 floors 34 units,,,,
374,164 Henry Street,164 Henry Street is a   low-rise  walk-up  building.,"164 Henry Street,  New York, NY 10002","Two Bridges,   Manhattan",(no current listings),1910,5 floors 24 units,,,,
375,164 Ludlow Street,164 Ludlow Street is a   low-rise  walk-up  building.,"164 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",1 no-fee ad,1900,5 floors 16 units,,,,
376,164 Mott Street,164 Mott Street is a   mid-rise  walk-up  building.,"164 Mott Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1900,6 floors 18 units,,,,
377,165 Attorney Street,165 Attorney Street is a   low-rise  walk-up  building.,"165 Attorney Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1910  (approximate),5 floors 18 units,,,,
378,165 Ludlow Street,165 Ludlow Street is a   low-rise  walk-up  building.,"165 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1910,5 floors 17 units,,,,
379,165 Mulberry Street,165 Mulberry Street is a   mid-rise  walk-up  building.   The building's amenities include a laundry.  The apartments  have  high ceilings.,"165 Mulberry Street,  New York, NY 10013","Little Italy,   Manhattan",2 no-fee ads,1920,6 floors 15 units,,Sky Management,212-759-1300,
380,166 Elizabeth Street,166 Elizabeth Street is a   mid-rise  walk-up  building.,"166 Elizabeth Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1908,6 floors 22 units,,,,
381,166 Norfolk Street,166 Norfolk Street is a   low-rise  walk-up  building.,"166 Norfolk Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1930,5 floors 24 units,,,,
382,166 Orchard Street,166 Orchard Street is a   mid-rise  walk-up  building.,"166 Orchard Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,6 floors 25 units,,,,
383,166 Second Avenue,166 Second Avenue is a  pre-war  high-rise  doorman elevator  building.   The building's amenities include a laundry.,"166 Second Avenue,  New York, NY 10003","East Village,   Manhattan",(no current listings),1929,16 floors 159 units,,,,
384,166 Suffolk Street,166 Suffolk Street is a   low-rise  walk-up  building.,"166 Suffolk Street,  New York, NY 10002","Lower East Side,   Manhattan",1 no-fee ad,1910,5 floors 19 units,,,,
385,167 Hester Street,167 Hester Street is a   low-rise  walk-up  building.,"167 Hester Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1900,4 floors 22 units,,,,
386,167 Ludlow Street,167 Ludlow Street is a   low-rise  walk-up  building.,"167 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",1 no-fee ad,1910,5 floors 15 units,,,,
387,167 Mott Street,167 Mott Street is a  turn-of-the-century  mid-rise  walk-up  building.,"167 Mott Street,  New York, NY 10013","Little Italy,   Manhattan",1 fee ad,1900,7 floors 26 units,,,,
388,168 East 7th Street,168 East 7th Street is a   low-rise  walk-up  building.,"168 East 7th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1911,5 floors 20 units,,,,
389,168 Ludlow Street,168 Ludlow Street is a   low-rise  walk-up  building.,"168 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
390,168 Norfolk Street,168 Norfolk Street is a   low-rise  walk-up  building.,"168 Norfolk Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,5 floors 20 units,,,,
391,169 Avenue A,169 Avenue A is a   low-rise  walk-up  building.    The apartments  have  high ceilings.  Rent includes heat and hot water.,"169 Avenue A,  New York, NY 10009","East Village,   Manhattan",(no current listings),1900,5 floors 16 units,,Time Equities,212-206-6000,
392,169 Hester Street,169 Hester Street is a   low-rise  walk-up  building.,"169 Hester Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1900,5 floors 24 units,,,,
393,17 Catherine Street,17 Catherine Street is a   mid-rise  walk-up  building.,"17 Catherine Street,  New York, NY 10038","Chinatown, Two Bridges,   Manhattan",(no current listings),1900,6 floors 32 units,,,,
394,17 Downing Street,17 Downing Street is a   low-rise  landmark walk-up  building.    The apartments  have  high ceilings.,"17 Downing Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1910,5 floors 20 units,,,,
395,17 Essex Street,17 Essex Street is a   low-rise  walk-up  building.,"17 Essex Street,  New York, NY 10002","Chinatown,   Manhattan",(no current listings),1900,5 floors 18 units,,,,
396,17 Ludlow Street,17 Ludlow Street is a   low-rise  walk-up  building.,"17 Ludlow Street,  New York, NY 10002","Chinatown,   Manhattan",(no current listings),1910,5 floors 17 units,,,,
397,17 Mott Street,17 Mott Street is a   low-rise  walk-up  building.,"17 Mott Street,  New York, NY 10013","Chinatown,   Manhattan",(no current listings),1900,5 floors 15 units,,,,
398,17 Pike Street,17 Pike Street is a   low-rise  walk-up  building.,"17 Pike Street,  New York, NY 10002","Chinatown, Two Bridges,   Manhattan",(no current listings),1900,5 floors 18 units,,,,
399,17 St. Mark's Place,17 St. Mark's Place is a   mid-rise  walk-up  building.,"17 St. Mark's Place,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 22 units,,,,
400,170 Bleecker Street,170 Bleecker Street is a   mid-rise  landmark walk-up  building.,"170 Bleecker Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1900,6 floors 23 units,,,,
401,170 Delancey Street,170 Delancey Street is a   mid-rise  walk-up  building.,"170 Delancey Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,6 floors 22 units,,,,
402,170 East 2nd Street,170 East 2nd Street is a   mid-rise  walk-up  building.,"170 East 2nd Street,  New York, NY 10009","East Village,   Manhattan",1 fee ad,1900,6 floors 36 units,,Westminster City Living,212-533-2224,
403,170 Thompson Street,170 Thompson Street is a   mid-rise  walk-up  building.,"170 Thompson Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1900,6 floors 41 units,,"Gatsby Enterprises, LLC",,
404,170-172 Spring Street,170-172 Spring Street is a   mid-rise  walk-up  building.,"170-172 Spring Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1905,6 floors 42 units,,Time Equities,212-206-6000,
405,171 Avenue A,171 Avenue A is a   mid-rise  walk-up  building.,"171 Avenue A,  New York, NY 10009","East Village,   Manhattan",(no current listings),1900,6 floors 18 units,,,,
406,171 East 2nd Street,171 East 2nd Street is a   mid-rise  walk-up  building.,"171 East 2nd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,6 floors 18 units,,,,
407,171 Thompson Street,171 Thompson Street is a   mid-rise  walk-up  building.,"171 Thompson Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1900,6 floors 80 units,,,,
408,171 West 4th Street,171 West 4th Street is a   mid-rise  landmark walk-up  building.,"171 West 4th Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1905,6 floors 15 units,,,,
409,172 East 7th Street,172 East 7th Street is a   mid-rise  elevator  building.,"172 East 7th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1929,6 floors 25 units,,"Helm Management, Inc",212-832-8180  212-832-6990 fax,
410,172 Mulberry Street,172 Mulberry Street is a  turn-of-the-century  mid-rise  walk-up  building.,"172 Mulberry Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1900,7 floors 26 units,,Landmark Resources LLC,212-644-4455,
411,172 Prince Street,172 Prince Street is a   mid-rise  walk-up  building.,"172 Prince Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1900,6 floors 26 units,,,,
412,172 Spring Street,172 Spring Street is a   mid-rise  walk-up  building.,"172 Spring Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1905,6 floors 42 units,,,,
413,172 Thompson Street,172 Thompson Street is a   mid-rise  walk-up  building.,"172 Thompson Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1900,6 floors 41 units,,"Gatsby Enterprises, LLC",,
414,173 Ludlow Street,173 Ludlow Street is a   low-rise  walk-up  building.   The building's amenities include a laundry.,"173 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",1 no-fee ad,1900,5 floors 22 units,,,,
415,173 Sullivan Street,173 Sullivan Street is a   low-rise  landmark walk-up  building.,"173 Sullivan Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
416,174 Delancey Street,174 Delancey Street is a   low-rise  walk-up  building.,"174 Delancey Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,5 floors 22 units,,"A.D. Real Estate Investors, Inc",516-487-9516,
417,174 Hester Street,174 Hester Street is a   mid-rise  walk-up  building.,"174 Hester Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1910,6 floors 19 units,,,,
418,174 Ludlow Street,174 Ludlow Street is a   low-rise  walk-up  building.,"174 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
419,174 Thompson Street,174 Thompson Street is a   mid-rise  walk-up  building.,"174 Thompson Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1900,6 floors 24 units,,"Gatsby Enterprises, LLC",,
420,174-176 Spring Street,174-176 Spring Street is a   mid-rise  landmark walk-up  building.,"174-176 Spring Street,  New York, NY 10012","SoHo,   Manhattan",2 no-fee ads,1905,6 floors 42 units,,Time Equities,212-206-6000,
421,175 Ludlow Street,175 Ludlow Street is a   low-rise  walk-up  building.,"175 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1910,5 floors 16 units,,,,
422,175 Orchard Street,175 Orchard Street is a   low-rise  walk-up  building.,"175 Orchard Street,  New York, NY 10002","Lower East Side,   Manhattan",1 fee ad,1900,5 floors 16 units,,,,
423,175 Rivington Street,175 Rivington Street is a   mid-rise  walk-up  building.   The building's amenities include a laundry.  The apartments  have  high ceilings.,"175 Rivington Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,6 floors 26 units,,,,
424,175 Thompson Street,175 Thompson Street is a   mid-rise  doorman walk-up  building.,"175 Thompson Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1900,6 floors 85 units,,,,
425,176 Canal Street,176 Canal Street is a   mid-rise  walk-up  building.,"176 Canal Street,  New York, NY 10013","Chinatown,   Manhattan",(no current listings),1910,6 floors 25 units,,,,
426,176 Suffolk Street,176 Suffolk Street is a   low-rise  walk-up  building.,"176 Suffolk Street,  New York, NY 10002","Lower East Side,   Manhattan",1 no-fee ad,1910,5 floors 22 units,,,,
427,176 Thompson Street,176 Thompson Street is a   mid-rise  walk-up  building.,"176 Thompson Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1900,6 floors 24 units,,"Gatsby Enterprises, LLC",,
428,176 West Houston Street,176 West Houston Street is a   mid-rise  landmark walk-up  building.,"176 West Houston Street,  New York, NY 10014","West Village, Central Village,   Manhattan",(no current listings),1900,6 floors 22 units,,JR Properties,212-463-9970  212-463-9988 fax,
429,177 Bleecker Street,177 Bleecker Street is a   low-rise  walk-up  building.,"177 Bleecker Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1900,5 floors 17 units,,,,
430,177 Chrystie Street,177 Chrystie Street is a   mid-rise  walk-up  building.,"177 Chrystie Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,6 floors 20 units,,,,
431,177 Ludlow Street,177 Ludlow Street is a   low-rise  walk-up  building.,"177 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",1 no-fee ad,1900,5 floors 15 units,,,,
432,177 Orchard Street,177 Orchard Street is a   low-rise  walk-up  building.,"177 Orchard Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
433,178 Thompson Street,178 Thompson Street is a  turn-of-the-century  mid-rise  walk-up  building.,"178 Thompson Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1900,7 floors 26 units,,"Gatsby Enterprises, LLC",,
434,178 West Houston Street,178 West Houston Street is a   mid-rise  landmark walk-up  building.,"178 West Houston Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1900,6 floors 20 units,,JR Properties,212-463-9970  212-463-9988 fax,
435,179 East 3rd Street,179 East 3rd Street is a   mid-rise  walk-up  building.,"179 East 3rd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,6 floors 32 units,,,,
436,179 Orchard Street,179 Orchard Street is a   low-rise  walk-up  building.,"179 Orchard Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,5 floors 17 units,,,,
437,18 Cornelia Street,18 Cornelia Street is a   low-rise  landmark walk-up  building.,"18 Cornelia Street,  New York, NY 10014","Central Village,   Manhattan",1 no-fee ad,1900,5 floors 16 units,,Brodsky Organization,212-315-5555  212-315-5963 fax,
438,18 First Avenue,18 First Avenue is a   mid-rise  walk-up  building.,"18 First Avenue,  New York, NY 10009","East Village,   Manhattan",(no current listings),1900,6 floors 27 units,,,,
439,18 St. Marks Place,18 St. Marks Place is a   low-rise  walk-up  building.,"18 St. Marks Place,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,4 floors 15 units,,,,
